ID,dataset,diversity,moral,market,innovation,ethnic_cultural,gender,sexual_ori,age,ability,religion,text
x1362876937962725382,1,Yes,Yes,No,No,Yes,No,No,No,No,No,"In honor of #BlackHistoryMonth in North America, read this article on #diversity and #SocialJustice across RELX. Discover how we are working to drive change, both within RELX and in the communities where we live and work globally: https://t.co/MGIiFQY0yy "
x1366777216479199234,1,Yes,No,No,Yes,No,Yes,No,No,No,No,"We value #diversity at RELX. It makes our business stronger. During #WomensHistoryMonth and surrounding #InternationalWomensDay, join us as we celebrate the successes, achievements and innovations of women across our company &amp; throughout history. http"
x1372269046998138883,1,Yes,No,No,Yes,No,Yes,No,No,No,No,"Christiane Barranguet, Strategic Services Director @ElsevierConnect, shares her unique perspective on how diversity of thought helps drive #innovation. Read this insightful story featuring #WomenInTech from across RELX: https://t.co/j8sAvoyzpK #RELXDivers"
x1372977174043578368,1,Yes,Yes,No,No,Yes,No,No,No,No,No,"To raise awareness on racial discrimination, @ElsevierConnect presents a curated list of free access journal articles and book chapters. Across RELX, we #StandUp4HumanRights and send the message that racism is unacceptable everywhere: https://t.co/AA1BUvl"
x1388157399090057217,1,Yes,No,No,Yes,No,No,No,No,No,No,"Revona Govender, Operations Executive @LexisNexis South Africa, shares her unique perspective on how diversity of thought helps drive #innovation. Read this immersive story featuring #WomenInTech from across RELX: https://t.co/MUtLGNVdYj #RELXDiversity @L"
x1394355942788059140,1,Yes,Yes,No,No,No,No,Yes,No,No,No,"It's International Day Against Homophobia, Transphobia, Biphobia and Interphobia! 🌈 #IDAHOBIT

We've come so far, but there is still work to be done to build a better world for the LGBTIQ+ community, and we will never stop advocating for equality, dive"
x1397485158840872960,1,Yes,No,No,No,No,No,No,No,No,No,"How do you meaningfully advance #inclusion &amp; #diversity? Listen to our #podcast episode where Kumsal Bayazit, @ElsevierConnect's first female CEO in its history, speaks about her insights into building trust &amp; creating an inclusive mindset. https:"
x1399811466241392642,1,Yes,Yes,No,No,No,No,Yes,No,No,No,"Happy #Pride Month! At KPMG we celebrate the diversity of our people, and we’re a proud supporter of our LGBTQ+ community around the world. This Pride we’re focusing on the power of allyship and the positive impact that it can have #futureisinclusive #pri"
x1399818994073341958,1,Yes,Yes,No,No,Yes,No,No,No,No,No,Climate justice is racial justice. Period. https://t.co/kotOkcIhry
x1401892534905942020,1,Yes,Yes,No,No,No,No,Yes,No,No,No,“Pride Month means celebrating different people from different parts of the world; this great #diversity and #intersectionality across RELX.” Discover more about #Pride and allyship across @RELXHQ: https://t.co/A41buwUNK7 #YouAreIncluded #LNDiversity http
x1402424469688307721,1,Yes,No,No,No,No,No,Yes,No,No,No,"“Pride Month means celebrating different people from different parts of the world; this great #diversity and #intersectionality across RELX.” Discover more about #Pride and allyship across RELX in our latest story: https://t.co/HWkIFFQwqW 

#YouAreInclu"
x1403064492309680128,1,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,"“The fight for LGBTQ+ rights – as the fight for social and racial justice, and gender equality – have a direct link with the climate movement.”

https://t.co/skH2nB9qus"
x1403138485486227461,1,Yes,Yes,No,No,No,No,No,No,No,No,"“We define #inclusion as feeling like we are all on the same team. Feeling respected, valued, and like you belong.” Find out how we are cultivating an inclusive &amp; diverse workforce &amp; ensuring #equality of opportunity for all across RELX: https://t"
x1404565347655630849,1,Yes,No,No,No,No,No,Yes,No,No,No,"Building a #BetterWorkingWorld means building one that is inclusive too. 

#Pride month helps raise the importance of supporting our LGBT+ communities around the world through advocacy, engagement and inclusion every day of the year. #ProudToBelong. htt"
x1407494299202191362,1,Yes,Yes,No,No,No,No,Yes,No,No,No,"If we want diversity and inclusion to be a lived reality for all, we need to do more than wave rainbow flags one month of the year, slap rainbows on packaging and update social media profile pictures.

Pride is a protest 🌈🕊️✊

#Pride #PrideMonth

"
x1409877522356056065,1,Yes,No,No,No,Yes,Yes,No,No,No,No,"Gender and racial bias is pervasive in human #AnatomyEducation, but how should we address it? 3D4Medical’s Chief Design Officer asks participants at Women in Technology World Series event: https://t.co/JpOIp1S8hr

 #3DAnatomy #HumanAnatomy #genderbias #"
x1422536608662831113,1,Yes,No,No,No,No,No,No,No,No,No,"Leaders of Employee Resource Groups at Elsevier share their tips on how to develop a more #inclusive #culture within an organization and experiences at the virtual Grace Hopper Celebration. 

#Elsevier #Diversity #DiscoverElsevier 

https://t.co/VTsrp"
x1425506145762959360,1,Yes,No,No,No,No,No,No,No,No,No,Read how @LexisNexis is advancing what's possible through #inclusion and #diversity. https://t.co/T6Dkfjkogq #LNDiversity #RELXDiversity
x1427676850743136257,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Watch the full interview as KPMG's Global #Fintech Co-Leader, Anton Ruddenklau, speaks with Jason Pau, Chief of Staff International to the Chairman and CEO, Ant Group about their 10x1000 Tech for Inclusion program. #fintechpulse https://t.co/r0a3iWUN8U"
x1429775527938863108,1,Yes,No,No,Yes,No,No,No,No,No,No,"Diversity, Equality &amp; Inclusion are viewed as the catalysts for many of KGS ServiceNow’s innovative digital solutions showcased at a recent Hackathon, demonstrating the power diversity of thought provides. https://t.co/6FriArUtCD https://t.co/AlbNTQbF"
x1438638906589827080,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,To mark #InternationalLiteracyDay we decided to showcase our colleagues across RELX who are also published #authors in addition to their day job. The diversity of #literature they have written is impressive. Discover their work:  https://t.co/DRglBG7JVM
x258846181055143936,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Tele2 Austria: Focused strategy paying off. The inclusion of Silver Server is yielding good result.
x710676813526073344,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"At congressional hearing Carly Foster @ArcadisGlobal, discussed water resiliency  &amp; need for diverse water portfolio https://t.co/9m96mfrXbq"
x773801958419333120,1,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,ING receives top marks for climate strategy &amp; financial inclusion and rises in DJSI published today by @RobecoSAM. https://t.co/mBbaM5i7lx
x842731180504039424,1,Yes,No,No,Yes,No,No,No,No,No,No,Different perspectives bring different solutions. Join @AukjeDoornbos in the dialogue @DSM ! https://t.co/uASEuQYz5B  #Diversity https://t.co/kZitVKb0zJ
x871510956227969024,1,Yes,No,No,No,No,No,No,No,No,No,'What's your story?' is our mission to share who we are. Read Robert's story #Diversity #Equality #Inclusion https://t.co/mQCVAO2I1L https://t.co/kodl7ouQi9
x960911723376062466,1,Yes,No,No,No,No,Yes,No,No,No,No,"February 11th is declared by the United Nations (UN) as the International Day of Women and Girls in science! https://t.co/ANyGlia7yr  At @DSM, we strongly believe in the importance of an Inclusive and Diverse workforce! https://t.co/evjnnIVAZe"
x961886512756477952,1,Yes,No,No,No,No,Yes,No,No,No,No,We @DSM will celebrate the International Day of Women &amp; Girls in Science in Feb 11! #science #inclusion #diversity https://t.co/oQvQZEeXir
x971809466713804802,1,Yes,Yes,No,No,Yes,Yes,No,No,No,No,"Up now is Serpil Timuray, Chief Commercial Operations and Strategy Officer, @VodafoneGroup who says ""Vodafone aspire for inclusion, leaving no one behind, especially disadvantaged parts of society inluding refugees and women"". https://t.co/6KrOSVjRj1"
x1004694069606518784,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Yesterday we welcomed @AkzoNobel employee competition winners to the #VolvoOceanRace village in Cardiff to meet @teamAkzoNobel, get out on the water and see first-hand AkzoNobel's involvement with the race; what a happy bunch! https://t.co/ivynHzsAO8"
x1019567482032488449,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Platform businesses invest 13% of their revenue in #technology where all #consumer and #retail companies invest less than 5% https://t.co/JuqKMdaqMf
x1024572881492160512,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"'We have become a totally #digital business, says @Wolters_Kluwer CEO' via @CNBC ➡️ https://t.co/csrcANQBpC"
x1055739789700485123,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,MT @ConstructMgrMag @CoalDropsYard #London opens today. Here’s the story of how it was built https://t.co/TAKMvyzkkH  @BAMConstructUK #construction https://t.co/jbJT5zTrLU
x1057877697853095936,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,#ING posts #3Q2018 net result of €776 million #INGresults. https://t.co/bxeKMTZJ0x
x1075110358988275712,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Time to tackle an important topic: emissions from beef + dairy. To incentivise farmers + industry to take #ClimateAction they must be able to credibly account for lowering their carbon footprint. Thanks @DSM for funding this pioneering meth #ValueChange 
"
x1077305826220613632,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Happy Holidays from all of us at Enablon!
During this time of the year, we hope that you enjoy quality time with the ones who matter the most to you. https://t.co/N6OdN5vPyf"
x1090962383651176449,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"#MK2019 « We embrace change, working together with #startups to imagine the retail of tomorrow » @VilletJulie, Director Innovation and CSR @urw_group. @MaddyKeynote #innovation #omnichannel #digital @URW_LAB https://t.co/eWLEAhRT0N"
x1093826864400007168,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAM secures Bath South Quays scheme on bank of the River Avon https://t.co/mFw1PmoPgt https://t.co/rZHwsfJw8T
x1107642816761597952,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Naturally our Global Innovation Director at the AkzoNobel Incubator takes a spot on our @letspaintfuture jury! Good thing nothing gets Menno van der Zalm going like innovation partnerships. https://t.co/hm2UDpMGm1 #PaintTheFuture https://t.co/r5z8E01EVP
x1121495338999865345,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Join us for today's @AccountingToday /@Wolters_Kluwer webinar entitled ""Tax Season in the Rearview Mirror - Lessons Learned and Battles Won"" with @AccountingEdit.  Register now! https://t.co/M4ydGYsEMn"
x1141043660030644225,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Imagine travel without stress, challenges, or uncertainty. Technology and innovation will improve quality of life through seamless and sustainable mobility. Learn more: https://t.co/1AKDisCzDm
#futureMobility #peopleCentric https://t.co/IBDKi032fU"
x1148198017285144576,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"#TDF2019 Saddle up with our @dyneema #innovators, as they work with @TeamSunweb to change the game for #protective #cycling apparel. #keepchallenging #ourraceneverends https://t.co/EodcDUtpHL"
x1161621907877351427,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"🚩75 km to go. It has started raining and the peloton is speeding up. Only 25 seconds left for the escapees:

🇧🇪 L. De Vreese (@AstanaTeam)
🇳🇱 J.W. Van Schip (@roompot_charles)
🇧🇪 A. Verwilst (@TeamSVB)

#BinckBankTour"
x1168827471841697793,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wonderful news for Thomas Buser @UvA_ASE as well. Many congrats @ThomasBuser 🎊
x1187705621522636801,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,NFL star JJ Watt visits his hometown fire department in Wisconsin to work out in full bunker gear. @Reebok  https://t.co/S88sHFsJYg
x1187712533299421184,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,We hear you @hannah4change 💙 We’re proud that @Dove is contributing to making sustainability commonplace with their new initiatives. #Mic #PlasticFight https://t.co/l0T0g2Zorh https://t.co/qvnougXOhg
x1194273412824350721,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Congratulations to all involved! MT @BAMConstructUK Fantastic news! Our Coal Drops Yard project #London has won the ‘Best Change of Use of an Existing Building or Conversion’ at the @labcuk awards. Big congratulations to the BAM team. #labcawards https://
x1205407469872254976,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,#ING Group 2019 SREP process completed https://t.co/8cjqfV1wPk
x1214924740147716098,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,5 areas financial services execs should focus on for sustainable transformation: https://t.co/qMlxZgyMHH
x1215604958365659136,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Winter blues? Ready to start making plans for the summer?☀️Why not apply for a summer course at the UvA! You can choose from nearly 30 different programmes. Check 👉 https://t.co/5CslaUUZsC 
#summerschool #summercourse #summerprogramme https://t.co/paqqj"
x1225375578422943744,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Yesterday minister Wiebes opened @morTUDelft prototype in @TheGrnVillage! The prototype is an example of how old office buildings can be completely renewed to offer sustainable office and/or living space. https://t.co/w6qA91yku0
x1230422463651237889,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,We're excited to have mobilised for one of the longest cable route surveys ever planned for an #OffshoreWind farm! Read here for the full story: https://t.co/Yj2ZpWLT8x #Renewables https://t.co/BfCFQPytnX
x1232615981983379457,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Technology's changing the way we work. Use it to your advantage now, and unlock your talent's true potential. This is what you need to know in order for your business to thrive in 2020. 

#HRtrends #HRtech #talentrends #talentacquisition"
x1237064106441572352,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Roughly 1 in 10 people entering hospitals require blood transfusions and unsurprisingly the tracking of blood products is highly regulated. Could #blockchain benefit the blood supply network? https://t.co/r3MJywRVhr #BetterAnswers #BetterWorkingWorld http
x1238493603816714240,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Free COVID-19 (#Coronavirus) resources for front-line clinicians and medical researchers are available from Lippincott and Wolters Kluwer https://t.co/h8rSzhOuyr #COVID19 #MedicalCare #HealthcareQuality #PrimaryCare #HealthSystems #PatientSafety #HCSM #Pa
x1240382646250807297,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"How resilient is your enterprise? Join us on Thursday, March 19 for a webcast on how to mitigate the impact of #COVID19 on your people and your business. Register now. #TransformativeAge
 https://t.co/QQBa8XHvuu"
x1246080059561082880,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"""We are not teaching from home. We are home during a crisis, trying to teach."" 

The @UvA_Amsterdam Online Teaching Crisis Team is trying to help. New Keep-on-Teaching updates incl: 

✔️Zoom Privacy Details
✔️Zoom Tips &amp; Tricks
✔️Online Examinat"
x1254688421085351936,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hello NVC member @TataSteelEurope @TataSteelPackag @TataSteelLtd as crowns and cans are both made of #Metal we wish YOU all strength in your Protac #packaging #steel business and your transformation to low #CO2 world-class #IJmuiden manufacturing with the
x1258741614526201857,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"""There are still people in the world who would do anything to be allowed to fly home."" Our Airport Ministry is there for people in need at the airport – and they need us even more at this time. Mark tells us about his work as a chaplain. https://t.co/gekI"
x1261259661443022852,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"While fake news is not a new phenomenon, #COVID19 has amplified the issue and the harm it can do to society. Find out more about how companies can protect themselves against it. https://t.co/ZboIc7i2k1 #Cybersecurity #BetterWorkingWorld https://t.co/J16O3"
x1262834868821659650,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"With digital solutions set to be in even greater demand post-COVID-19, fintechs will play a leading role in the new reality: https://t.co/B7oZZDbrxp"
x1268820109252087809,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Today is #WorldEnvironmentDay.

The foods we eat, the air we breathe, the water we drink and the climate that makes our planet habitable all come from #nature. We continue tackling some of the world’s greatest challenges, creating brighter lives for all"
x1275338774944374787,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,We’ve completed the Middle East’s first fully #autonomous #geophysical route survey! Our USV acquired Geo-data off the coast of Abu Dhabi without a single person onboard. https://t.co/m2g0g80pIL https://t.co/nnlF0GQHAh
x1277581637761544192,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Since 2012 the universities @unileiden, @tudelft and @erasmusuni collaborate in a strategic alliance, building a strong and ambitious network in our region and far beyond. Follow #leidendelfterasmus on Twitter and LinkedIn and read our brand new magazine:"
x1283385837980352512,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Without understanding geopolitical risk, how can you successfully transform? Find out if you're taking the actions necessary to mitigate political risk and transform your approach for the better. https://t.co/CJYbYOv2GJ #ReframeYourFuture #BetterWorkingWo"
x1286662435034759168,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Discover four questions every organization should ask itself to spur transformation and reinvention https://t.co/neu7ddV1sb #ReframeYourFuture #BetterWorkingWorld https://t.co/70GYxbuNZg
x1293906232093204482,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Now band practice can go the distance. We worked with @Elkpowered on a platform that allows musicians to jam together even when miles apart. Low latency from #5G means they'll never miss a beat. https://t.co/T3tfrnvsg2 https://t.co/gQygHR8kjw
x1311672293337292800,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"In the BinckBank Golden KM, Jonas Rickaert takes 9 bonus seconds. 

#BinckBankTour"
x1311673176569638912,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"With 9 km to go, the leading group has been reduced to three: Rickaert, Riesebeek and Ligthart. 

Peloton at 15 seconds.
#BinckBankTour"
x1324230984183828481,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,ING posts 3Q2020 net result of €788 million https://t.co/8C0Ctikf5Q
x1324984940539293696,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"The impact of political risk on innovation is growing in importance, as new technologies increasingly drive the global economy. Explore more in our recent research. #BetterWorkingWorld"
x1325392622790217735,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Organizations need to incorporate flexibility into their business models to enhance their resilience. Discover how you can #ReframeYourFuture during these challenging times.
x1346788717114097665,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Is your business ready to uncover opportunities now, next and beyond? EY Megatrends can help business leaders ask the right questions to reframe the future of their organizations: https://t.co/4am6XNsXKs #BetterWorkingWorld #ReframeYourFuture https://t.co"
x1347688542978396161,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,RELX’s latest study reveals that adoption of #AI technologies has accelerated during the COVID-19 pandemic. Find out more: https://t.co/z6V8GcHXXs #EmergingTech #COVID19
x1351772249456582657,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$ASML expects Q1 2021 net sales between EUR 3.9 billion and EUR 4.1 billion, gross margin between 50% and 51% https://t.co/hD8IlU2UXI"
x1354145758275055616,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Listen to Stephen Topliss, VP for global fraud and identity at @LexisNexisRisk, discuss #cybercrime, the evolution of online #fraud &amp; how modern #technology is helping combat it in our latest #podcast episode: https://t.co/WgpZe6zF0R #ThoughtLeadershi"
x1359564604616171520,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"The #TooGoodToGo app offers a simple way to stop food waste

🏪Shops &amp; restaurants post surplus food at cut prices
🛒Shoppers click and collect

It’s a win–win, and just one of the ways we’re tackling food waste through partnerships.

#HealthyP"
x1374707945326444547,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,Read about the measures that CEOs are taking in light of the COVID-19 pandemic to ensure the protection of their workforce in our #CEOoutlook Pulse Survey results: https://t.co/bfs9li2MWT https://t.co/Z00Z6jNZJJ
x1375808898561683464,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Learn about key innovations from across RELX which are helping change the world including @ElsevierConnect's Complete #Anatomy, @LexisNexis' Lexis+ and @ReedExhibitions' online product showcases: https://t.co/lWIUr973Qm

#Innovation #LegalTech #VirtualE"
x1388237862559223818,2,Yes,Yes,No,No,Yes,No,No,No,No,No,"Protecting the environment + #ClimateAction is an important piece of this. Confronting #EnvironmentalRacism is a place to start.

With #BillC230, Canada has an historic opportunity to begin addressing the wrongs done to BIPOC &amp; frontline communities"
x1394035057753567237,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Industrial agriculture is a major contributor to the #climatecrisis and it’s making us sick. Companies &amp; governments must shift to ecological agriculture to protect the planet and the people, especially those directly impacted by this destructive indu"
x1399785565482983425,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We’re delighted to join forces with @MarsUK @MDLZ @NestleUKI and @pepsico_uk to launch the Flexible Plastic Fund – a new cross-industry collaboration to boost flexible plastic collection and recycling in the UK. 

More here 👉https://t.co/z5Q7Ks76wB htt"
x1400870594351075334,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We have joined forces with Jheronimus Academy of Data Science @jadatascience to collaborate in the field of data science. This collaboration brings together academic knowledge, world-class research, international talent and industrial applications. https:"
x1407004598590660618,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Sri Lanka is facing one of the worst environmental disasters after tons of plastic pellets have washed ashore near its capital devastating kilometres of pristine beaches and threatening marine life.

@tashiyademel brings us the first pictures of the apo"
x1407014716036222976,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We are looking for youth people who are leading the change in their communities impacted by the #climate crisis. Shoot us a message if you have any questions 🙂

We are receiving applications until the 22nd of June! More info: https://t.co/XI81HfNks4 ht"
x1409813902322454529,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Imagine a healthcare system that can match each patient with their ideal care provider. What would that look like? Learn more from Philips’ Chief Innovation and Strategy Officer Jeroen Tas: https://t.co/idDwEs7AaC

#healthcare #digitaltransformation htt"
x1410569521396658180,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Tune in to the latest series of RELX's Unique Contributions #podcast to hear from our experts as they share stories, ideas and #insights on the issues that matter most in our world today. 

Listen &amp; subscribe 🎧 https://t.co/yQ3TISZh5c #ThoughtLeade"
x1418604330840510467,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Local farmers are working on end-to-end integration of the maize value chain to transform food systems in SSA through a scalable and sustainable model. Join us on 28 July to learn more. Register now: https://t.co/fr7xj0viMe!

#FoodSystems #PPPs https://"
x1425064450877497344,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"How can you harmonize your data, people, technologies and business model to thrive in today’s data-driven world? Through the EY defining model, the intelligent value chain. Learn more: https://t.co/pa9Q0zOcjh #TrustedIntelligence https://t.co/YN0tN8dNwR"
x1431341820500451330,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Explore our 'Why RELX?' page to learn more about who we are, what we stand for and meet some of our people around the world. RELX could be your start to a new career. https://t.co/ZdlpxD2cLy #CareerOpportunities #TechJobs"
x1433769261416210456,2,No,nan,nan,nan,nan,nan,nan,nan,nan,nan,"We are proud to share that our DSM #Grenzach site has won the 2nd prize in Germany’s national chemical industry association (#VCI) #ResponsibleCare award for its climate protection program. Read more: https://t.co/VNjamiFWwy
#advocate #ghgreduction #road"
